,Unnamed: 0.1,Fecha, Temperatura (°C), Humedad (%),Hora
203,203,28/9/2022,35.0,32.1,28/9/2022
204,204,28/9/2022,35.0,32.2,28/9/2022
205,205,28/9/2022,35.1,32.4,28/9/2022
206,206,28/9/2022,35.1,32.3,28/9/2022
207,207,28/9/2022,35.2,31.9,28/9/2022
208,208,28/9/2022,35.3,31.8,28/9/2022
209,209,28/9/2022,35.4,31.6,28/9/2022
210,210,28/9/2022,35.4,32.0,28/9/2022
211,211,28/9/2022,35.5,32.1,28/9/2022
212,212,28/9/2022,35.5,31.8,28/9/2022
213,213,28/9/2022,35.6,32.0,28/9/2022
214,214,28/9/2022,35.6,32.0,28/9/2022
215,215,28/9/2022,35.5,31.4,28/9/2022
216,216,28/9/2022,35.5,31.0,28/9/2022
217,217,28/9/2022,35.5,31.3,28/9/2022
218,218,28/9/2022,35.4,30.9,28/9/2022
219,219,28/9/2022,35.3,31.1,28/9/2022
220,220,28/9/2022,35.4,31.5,28/9/2022
221,221,28/9/2022,35.5,31.7,28/9/2022
222,222,28/9/2022,35.5,31.9,28/9/2022
223,223,28/9/2022,35.5,32.2,28/9/2022
224,224,28/9/2022,35.5,32.4,28/9/2022
225,225,28/9/2022,35.4,32.4,28/9/2022
226,226,28/9/2022,35.4,32.2,28/9/2022
227,227,28/9/2022,35.4,31.8,28/9/2022
228,228,28/9/2022,35.3,31.8,28/9/2022
229,229,28/9/2022,35.3,32.0,28/9/2022
230,230,28/9/2022,35.3,32.3,28/9/2022
231,231,28/9/2022,35.3,32.5,28/9/2022
232,232,28/9/2022,35.2,32.6,28/9/2022
233,233,28/9/2022,35.2,32.5,28/9/2022
234,234,28/9/2022,35.2,32.5,28/9/2022
235,235,28/9/2022,35.2,32.5,28/9/2022
236,236,28/9/2022,35.1,32.5,28/9/2022
237,237,28/9/2022,35.2,32.8,28/9/2022
238,238,28/9/2022,35.2,33.0,28/9/2022
239,239,28/9/2022,35.1,32.9,28/9/2022
240,240,28/9/2022,35.2,32.8,28/9/2022
241,241,28/9/2022,35.2,32.8,28/9/2022
242,242,28/9/2022,35.2,33.0,28/9/2022
243,243,28/9/2022,35.2,33.0,28/9/2022
244,244,28/9/2022,35.1,32.7,28/9/2022
245,245,28/9/2022,35.2,32.5,28/9/2022
246,246,28/9/2022,35.2,32.3,28/9/2022
247,247,28/9/2022,35.2,32.2,28/9/2022
248,248,28/9/2022,35.2,33.0,28/9/2022
249,249,28/9/2022,35.2,33.1,28/9/2022
250,250,28/9/2022,35.2,33.1,28/9/2022
251,251,28/9/2022,35.1,32.6,28/9/2022
252,252,28/9/2022,34.8,32.7,28/9/2022
253,253,28/9/2022,34.7,32.9,28/9/2022
254,254,28/9/2022,34.7,33.1,28/9/2022
255,255,28/9/2022,34.7,33.0,28/9/2022
256,256,28/9/2022,34.7,33.0,28/9/2022
257,257,28/9/2022,34.5,33.1,28/9/2022
258,258,28/9/2022,34.5,33.3,28/9/2022
259,259,28/9/2022,34.5,33.4,28/9/2022
260,260,28/9/2022,34.5,33.5,28/9/2022
261,261,28/9/2022,34.4,33.5,28/9/2022
262,262,28/9/2022,34.4,33.7,28/9/2022
263,263,28/9/2022,34.4,33.9,28/9/2022
264,264,28/9/2022,34.4,33.9,28/9/2022
265,265,28/9/2022,34.4,34.0,28/9/2022
266,266,28/9/2022,34.4,34.0,28/9/2022
267,267,28/9/2022,34.5,34.0,28/9/2022
268,268,28/9/2022,34.5,34.0,28/9/2022
269,269,28/9/2022,34.6,33.9,28/9/2022
270,270,28/9/2022,34.6,33.8,28/9/2022
271,271,28/9/2022,34.7,33.6,28/9/2022
272,272,28/9/2022,34.7,33.6,28/9/2022
273,273,28/9/2022,34.8,34.0,28/9/2022
274,274,28/9/2022,34.8,34.0,28/9/2022
275,275,28/9/2022,34.8,33.9,28/9/2022
276,276,28/9/2022,34.8,33.6,28/9/2022
277,277,28/9/2022,34.7,33.4,28/9/2022
278,278,28/9/2022,34.7,33.3,28/9/2022
279,279,28/9/2022,34.7,33.2,28/9/2022
280,280,28/9/2022,34.7,33.0,28/9/2022
281,281,28/9/2022,34.7,33.1,28/9/2022
282,282,28/9/2022,34.7,33.3,28/9/2022
283,283,28/9/2022,34.7,33.2,28/9/2022
284,284,28/9/2022,34.8,33.3,28/9/2022
285,285,28/9/2022,34.8,33.3,28/9/2022
286,286,28/9/2022,34.8,33.4,28/9/2022
287,287,28/9/2022,34.9,33.5,28/9/2022
288,288,28/9/2022,35.0,33.3,28/9/2022
289,289,28/9/2022,35.0,33.2,28/9/2022
290,290,28/9/2022,35.0,33.1,28/9/2022
291,291,28/9/2022,35.1,33.1,28/9/2022
292,292,28/9/2022,35.1,33.1,28/9/2022
293,293,28/9/2022,35.1,33.0,28/9/2022
294,294,28/9/2022,35.2,33.1,28/9/2022
295,295,28/9/2022,35.2,33.0,28/9/2022
296,296,28/9/2022,35.2,33.1,28/9/2022
297,297,28/9/2022,35.2,33.1,28/9/2022
298,298,28/9/2022,35.3,33.2,28/9/2022
299,299,28/9/2022,35.4,33.0,28/9/2022
300,300,28/9/2022,35.4,33.0,28/9/2022
301,301,28/9/2022,35.4,33.1,28/9/2022
302,302,28/9/2022,35.5,33.2,28/9/2022
303,303,28/9/2022,35.4,33.1,28/9/2022
304,304,28/9/2022,35.4,32.8,28/9/2022
305,305,28/9/2022,35.5,32.6,28/9/2022
306,306,28/9/2022,35.4,32.6,28/9/2022
307,307,28/9/2022,35.4,32.7,28/9/2022
308,308,28/9/2022,35.4,32.7,28/9/2022
