,Unnamed: 0.1, Temperatura (C), Humedad (%),Fecha,Hora
307,307,28.2,63.2,24/10/2022,24/10/2022
308,308,28.1,63.6,24/10/2022,24/10/2022
309,309,27.9,64.2,24/10/2022,24/10/2022
310,310,27.8,64.6,24/10/2022,24/10/2022
311,311,27.7,65.0,24/10/2022,24/10/2022
312,312,27.7,65.4,24/10/2022,24/10/2022
313,313,27.7,55.6,24/10/2022,24/10/2022
314,314,27.8,55.6,24/10/2022,24/10/2022
315,315,28.0,55.2,24/10/2022,24/10/2022
316,316,28.0,54.5,24/10/2022,24/10/2022
317,317,28.0,54.4,24/10/2022,24/10/2022
318,318,28.1,54.3,24/10/2022,24/10/2022
319,319,28.2,54.3,24/10/2022,24/10/2022
320,320,28.3,54.3,24/10/2022,24/10/2022
321,321,28.4,54.2,24/10/2022,24/10/2022
322,322,28.5,54.1,24/10/2022,24/10/2022
323,323,28.6,53.7,24/10/2022,24/10/2022
324,324,28.6,53.4,24/10/2022,24/10/2022
325,325,28.5,53.4,24/10/2022,24/10/2022
326,326,28.4,53.3,24/10/2022,24/10/2022
327,327,28.5,53.3,24/10/2022,24/10/2022
328,328,28.5,53.2,24/10/2022,24/10/2022
329,329,28.6,53.0,24/10/2022,24/10/2022
330,330,28.7,53.1,24/10/2022,24/10/2022
331,331,28.7,53.1,24/10/2022,24/10/2022
332,332,28.8,53.0,24/10/2022,24/10/2022
333,333,28.9,53.0,24/10/2022,24/10/2022
334,334,29.0,53.1,24/10/2022,24/10/2022
335,335,29.0,53.2,24/10/2022,24/10/2022
336,336,29.1,53.0,24/10/2022,24/10/2022
337,337,29.2,52.4,24/10/2022,24/10/2022
338,338,29.2,52.3,24/10/2022,24/10/2022
339,339,29.3,52.3,24/10/2022,24/10/2022
340,340,29.4,51.8,24/10/2022,24/10/2022
341,341,29.3,51.1,24/10/2022,24/10/2022
342,342,29.2,51.1,24/10/2022,24/10/2022
343,343,29.1,50.9,24/10/2022,24/10/2022
344,344,29.0,51.3,24/10/2022,24/10/2022
345,345,28.9,51.0,24/10/2022,24/10/2022
346,346,28.8,50.6,24/10/2022,24/10/2022
347,347,28.5,50.9,24/10/2022,24/10/2022
348,348,28.4,51.4,24/10/2022,24/10/2022
349,349,28.2,51.6,24/10/2022,24/10/2022
350,350,28.1,52.4,24/10/2022,24/10/2022
351,351,28.2,53.1,24/10/2022,24/10/2022
352,352,28.2,53.4,24/10/2022,24/10/2022
353,353,28.3,53.4,24/10/2022,24/10/2022
354,354,28.4,53.5,24/10/2022,24/10/2022
355,355,28.5,53.3,24/10/2022,24/10/2022
356,356,28.5,53.2,24/10/2022,24/10/2022
357,357,28.5,52.9,24/10/2022,24/10/2022
358,358,28.4,52.5,24/10/2022,24/10/2022
359,359,28.3,52.5,24/10/2022,24/10/2022
360,360,28.3,52.5,24/10/2022,24/10/2022
361,361,28.3,52.6,24/10/2022,24/10/2022
362,362,28.2,52.6,24/10/2022,24/10/2022
363,363,28.2,52.9,24/10/2022,24/10/2022
364,364,28.3,52.9,24/10/2022,24/10/2022
365,365,28.4,53.0,24/10/2022,24/10/2022
366,366,28.4,52.9,24/10/2022,24/10/2022
367,367,28.5,52.8,24/10/2022,24/10/2022
368,368,28.6,52.7,24/10/2022,24/10/2022
369,369,28.7,52.6,24/10/2022,24/10/2022
370,370,28.7,52.5,24/10/2022,24/10/2022
371,371,28.8,52.8,24/10/2022,24/10/2022
372,372,28.8,53.0,24/10/2022,24/10/2022
373,373,28.9,53.1,24/10/2022,24/10/2022
374,374,28.9,52.9,24/10/2022,24/10/2022
